repo,issue_number,text,label_human,alternative,label_claude,reasoning_claude,evidence_claude,
OpenBB-finance/OpenBB,5158,"[title] [bug] `/stocks/ca/ticker aapl/get` - error: list index out of range.
[issue]
```
(🦋) /stocks/ca/ $ ticker aapl

(🦋) /stocks/ca/ $ get

list index out of range
[finviz] similar companies: aapl,

(🦋) /stocks/ca/ $

```

the other two sources work:

```
(🦋) /stocks/ca/ $ get --source polygon

[polygon] similar companies: aapl, msft, nok, ibm, hpq, googl, bb, xlk

(🦋) /stocks/ca/ $ get --source finnhub

[finnhub] similar companies: aapl, dell, hpq, 1337.hk, hpe, ntap, wdc, smci, pstg, xrx
```
[issue_comments] ""is an issue with the finvizfinance library:

```
file ""mocking_user_path/openbbterminal/openbbterminal/openbb_terminal/stocks/comparison_analysis/finviz_compare_model.py"", line 44, in get_similar_companies\n    similar = overview().compare(symbol, compare_list, verbose=0)\n  file ""mocking_user_path/miniconda3/envs/obb/lib/python3.9/site-packages/finvizfinance/screener/overview.py"", line 328, in compare\n    stock_fundament = stock.ticker_fundament()\n  file ""mocking_user_path/miniconda3/envs/obb/lib/python3.9/site-packages/finvizfinance/quote.py"", line 141, in ticker_fundament\n    ) = rows[2].text.split("" | ""
```"", ""fixed by updating to the pre-release:

```
pip install finvizfinance==0.14.6rc2
```

editing in release branch""",service,,MANUAL,This is a third-party library version incompatibility issue that was resolved by updating the external dependency. Automating tests for transient library bugs that are fixed upstream provides no long-term value and would only add maintenance burden.,is an issue with the finvizfinance library... fixed by updating to the pre-release: pip install finvizfinance==0.14.6rc2,
OpenBB-finance/OpenBB,4794,"[title] [bug] `account\list` displays `no routines found.` but opens a windows with 3 default routines
[issue]
**describe the bug**
i have not set any routine in my account. so executing `accounts\list` command displays the proper output -

however, it opens a window that displays 3 routines configured -
[issue_comments] ""on my.openbb.dev profile, i see these as default routines -

then the output should not be `no routines found.`. may i know what's the expected output for this command so that i can develop a fix for it?"", ""thanks for this issue, @the-praxs!  this is because the routines are not refreshed in memory and you need to restart in order for them to be recognized.  the choices for the `exe` command need to refresh after."", ""> thanks for this issue, @the-praxs! this is because the routines are not refreshed in memory and you need to restart in order for them to be recognized. the choices for the `exe` command need to refresh after.

gotcha. i noticed in the code that even if one has personal routines, it would still display the default routines.

the last 3 lines are out of the conditional block so when the `if` clause runs, it will also display the default routines afterward.""",service,,SERVICE,This is a state management issue within a single component where cached data is not being refreshed properly. The bug can be reliably reproduced and validated by testing the account list service logic with controlled state scenarios.,"The routines are not refreshed in memory and you need to restart in order for them to be recognized. The last 3 lines are out of the conditional block so when the if clause runs, it will also display the default routines afterward.",
OpenBB-finance/OpenBB,3258,"[title] [bug] sdk - `openbb.forex.oanda.get_calendar` - default setting for `days`, 7, is ignored.
[issue]
```
openbb.forex.oanda.calendar(instrument='eur_usd')

```

```
error: local variable 'df' referenced before assignment

traceback (most recent call last):
  file ""/users/danglewood/github/openbbterminal/openbb_terminal/decorators.py"", line 158, in wrapper_decorator
    value = func(*args, **kwargs)
  file ""/users/danglewood/github/openbbterminal/openbb_terminal/forex/forex_helper.py"", line 155, in load
    return df
unboundlocalerror: local variable 'df' referenced before assignment
error: local variable 'df' referenced before assignment

traceback (most recent call last):
  file ""/users/danglewood/github/openbbterminal/openbb_terminal/decorators.py"", line 72, in wrapper
    value = func(*args, **kwargs)
  file ""/users/danglewood/github/openbbterminal/openbb_terminal/decorators.py"", line 158, in wrapper_decorator
    value = func(*args, **kwargs)
  file ""/users/danglewood/github/openbbterminal/openbb_terminal/forex/forex_helper.py"", line 155, in load
    return df
unboundlocalerror: local variable 'df' referenced before assignment
error: get_calendar_request() missing 1 required positional argument: 'days'

traceback (most recent call last):
  file ""/users/danglewood/github/openbbterminal/openbb_terminal/decorators.py"", line 158, in wrapper_decorator
    value = func(*args, **kwargs)
typeerror: get_calendar_request() missing 1 required positional argument: 'days'
```",service,,SERVICE,This is a clear function signature and parameter handling defect within a single SDK component. The issue can be reliably detected through isolated unit or service-level tests that verify default parameter behavior without requiring external dependencies or cross-system integration.,"error: get_calendar_request() missing 1 required positional argument: 'days' and default setting for `days`, 7, is ignored indicate a parameter handling bug in the service function itself.",
OpenBB-finance/OpenBB,2684,"[title] [bug] /stocks/sia - load function doesn't work. error: 'nonetype' object is not subscriptable
[issue]
recreate by entering the menu with no stock loaded, then load a ticker from any source.
[issue_comments] ""@deeleeramone i had a quick look at this and it looks like it's **intermittent**. the first time i loaded i got the same error (it makes no difference if it's loaded before going to `sia` or after).

the reason is that we load this data from yahoo finance and the data (which they call `summaryprofile` was missing altogether).

making it not crash with that error is trivial, but my main question is how should we report this kind of errors? i am very new to this project, but it does look like that menu cannot be used unless we know the sector, country and industry.

a good solution would be to find an alternative source if we can't find it in yahoo finance, can someone help me understand if we have an alternative source implemented?"", ""hmmm, @catalintoma i think you are right. we are relying on the sector, industry and country from yahoo finance. this is also because this menu utilizes financedatabase which is built on top of yahoo finance.

so i think it is not trivial to use another source in here, unfortunately"", ""has this been fixed? i can't seem to reproduce it."", ""> has this been fixed? i can't seem to reproduce it.

as i wrote in the first comment, it is **intermittent**
i was able to reproduce for 2-3 times, basically that quote endpoint from yf returns
`summaryprofile: {}` which gets deserialized to `none`, hence the error message.

i want to improve the error message and refactor some duplicate code in that controller tomorrow morning, but as @didierrlopes said we don't have an alternative source, so not that much we can do."", ""sounds good! i was just wanting to replace the nonetype error with a message that is more readable to a non coder.""",END_TO_END,"? 
Manual",MANUAL,"This is an intermittent failure caused by external dependency behavior (Yahoo Finance API returning empty summaryProfile data). The issue is environment-dependent, non-deterministic, and occurs only when the third-party service returns incomplete data, making reliable automation impractical.",The bug is described as 'intermittent' and occurs when 'that quote endpoint from yf returns summaryprofile: {} which gets deserialized to none'. The external API behavior is unpredictable and cannot be reliably reproduced.,
OpenBB-finance/OpenBB,4137,"[title] [bug] entering the po menu from the portfolio menu does not recognize the already defined categories.
[issue]
if you enter the po menu, with a portfolio file loaded, the tickers are there but the categories fail to be recognized, despite already existing.

```
categories: asset_class, sector, industry, country, currency
```

```
2023 feb 05, 14:04 (🦋) /portfolio/ $ show

                                                                      last 10 transactions

┃ date       ┃ type  ┃ ticker  ┃ side ┃ price ┃ quantity ┃ fees ┃ investment ┃ currency ┃ sector             ┃ industry         ┃ country       ┃ region        ┃

│ 2022-05-11 │ stock │ cef.to  │ buy  │ 22.82 │ 450      │ 200  │ 10469.00   │ cad      │ financial services │ asset management │ canada        │ north america │

│ 2022-04-11 │ stock │ moz.to  │ buy  │ 2.81  │ 7000     │ 200  │ 19870.00   │ cad      │ basic materials    │ gold             │ canada        │ north america │

│ 2022-04-11 │ stock │ pslv.to │ buy  │ 11.13 │ 1800     │ 200  │ 20234.00   │ cad      │ financial services │ asset management │ canada        │ north america │

│ 2022-03-30 │ stock │ cg.to   │ buy  │ 12.28 │ 1600     │ 200  │ 19848.00   │ cad      │ basic materials    │ gold             │ canada        │ north america │

│ 2022-03-25 │ stock │ bto.to  │ buy  │ 5.82  │ 3400     │ 200  │ 19988.00   │ cad      │ basic materials    │ gold             │ canada        │ north america │

│ 2022-03-25 │ stock │ cg.to   │ buy  │ 12.31 │ 1750     │ 200  │ 21742.50   │ cad      │ basic materials    │ gold             │ canada        │ north america │

│ 2022-03-24 │ stock │ pslv.to │ buy  │ 11.34 │ 3000     │ 200  │ 34220.00   │ cad      │ financial services │ asset management │ canada        │ north america │

│ 2022-03-24 │ stock │ ngt.to  │ sell │ 99.08 │ -200     │ 200  │ -19616.00  │ cad      │ basic materials    │ gold             │ united states │ north america │

│ 2022-03-24 │ stock │ abx.to  │ sell │ 31.20 │ -1000    │ 200  │ -31000.00  │ cad      │ basic materials    │ gold             │ canada        │ north america │

│ 2022-03-24 │ stock │ paas.to │ buy  │ 36.00 │ 600      │ 200  │ 21800.00   │ cad      │ basic materials    │ silver           │ canada        │ north america │

```

if you optimize it based on your portfolio file, and then want to analyze the results you can't because none of the metadata for the individual holdings is passed through.

```
2023 feb 05, 14:10 (🦋) /portfolio/po/ $ plot --pie

please select at least one portfolio.

current portfolios: maxutil_0

current categories: none. attribute some categories in the loaded file.
```

a second allocation file is redundant. this information is already loaded into memory, and only needs to be made accessible to the downstream processes.",END_TO_END,,SERVICE,This is a data propagation issue within the application where category metadata already loaded in the portfolio context fails to transfer to the PO menu component. This can be validated through isolated service-level tests that verify data flow between components with controlled inputs.,"if you enter the po menu, with a portfolio file loaded, the tickers are there but the categories fail to be recognized, despite already existing... this information is already loaded into memory, and only needs to be made accessible to the downstream processes.",
OpenBB-finance/OpenBB,1905,"[title] [bug] crypto/disc/cglosers - sorting by market cap is not on by default, as described by the help dialogue.
[issue]
crypto/disc/cglosers:

  - sorting by market cap is not on by default, as described by the help dialogue.
  - applying the filter to sort by market cap puts the highest rank at the bottom, which is unconventional presentation.",service,,SERVICE,"This is a straightforward UI default configuration and sorting logic issue that can be validated through isolated component testing with controlled data. The bug involves verifying default parameter values and sort order logic, which are deterministic behaviors that don't require full system integration.","sorting by market cap is not on by default, as described by the help dialogue. applying the filter to sort by market cap puts the highest rank at the bottom, which is unconventional presentation.",
OpenBB-finance/OpenBB,3868,"[title] [bug] stocks/qa/beta - reference ticker does not respect the start/end dates of the loaded ticker
[issue]
`stocks/load aapl --start 2010-01-01 --end 2012-01-01/qa/pick adjclose/beta -r msft`

it `loads` the reference ticker as, ""intraday 1440min data"", which is a strange way of saying, ""daily"", and does not care to align the observation windows.",service,,SERVICE,This is a data alignment logic defect within the beta calculation component that can be validated in isolation by verifying that reference ticker date ranges match the loaded ticker's start/end parameters. The issue involves encapsulated business logic for date range handling that does not require full system integration to test.,"The reference ticker does not respect the start/end dates of the loaded ticker and loads data without aligning the observation windows, indicating a component-level date filtering defect.",
OpenBB-finance/OpenBB,4106,"[title] [bug] crypto/disc/nft - dappradar api exception: access denied - big wall of red text
[issue]
big wall of red text, and looks like an issue with cloudflare.

```
2023 feb 01, 13:48 (🦋) /crypto/disc/ $ nft

dappradar api exception:

access denied

(function(){if(document.addeventlistener&&window.xmlhttprequest&&json&&json.stringify){var e=function(a){var c=document.getelementbyid(""error-feedback-survey""),d=document.getelementbyid(""error-feedback-success""),b=new xmlhttprequest;a={event:""feedback clicked"",properties:{errorcode:1020,helpful:a,version:5}};b.open(""post"",""
b.send(json.stringify(a));c.classlist.add(""feedback-hidden"");d.classlist.remove(""feedback-hidden"")};document.addeventlistener(""domcontentloaded"",function(){var a=document.getelementbyid(""error-feedback""),c=document.getelementbyid(""feedback-button-yes""),d=document.getelementbyid(""feedback-button-no"");""classlist""in a&&(a.classlist.remove(""feedback-hidden""),c.addeventlistener(""click"",function(){e(!0)}),d.addeventlistener(""click"",function(){e(!1)}))})}})();

(function(){function d(c){var b=document.getelementbyid(""copy-label""),a=document.getelementbyid(""cf-details-wrapper-expandable"");c.target.checked?a.classlist.add(""expanded""):(a.classlist.remove(""expanded""),b.innertext=""click to copy"")}if(document.addeventlistener){var e=function(){var c=document.getelementbyid(""copy-label"");var b=document.getelementbyid(""error-details"").textcontent;if(navigator.clipboard)navigator.clipboard.writetext(b);else{var a=document.createelement(""textarea"");a.value=b;a.style.top=""0"";a.style.left=""0"";a.style.position=""fixed"";document.body.appendchild(a);a.focus();a.select();document.execcommand(""copy"");document.body.removechild(a)}c.innertext=""copied text to clipboard""};document.addeventlistener(""domcontentloaded"",function(){var c=document.getelementbyid(""error-details-checkbox""),b=document.getelementbyid(""click-to-copy-btn"");document.getelementbyid(""copy-label"").classlist.remove(""hidden"");c.addeventlistener(""change"",d);b.addeventlistener(""click"",e)})}})();

access denied
            error code 1020

you do not have access to nft-sales-service.dappradar.com.the site owner may have set restrictions that prevent you from accessing the site.

error details

provide the site owner this information.

i got an error when visiting nft-sales-service.dappradar.com/v2/collection/day?limit=20&amp;page=1&amp;currency=usd&amp;sort=marketcapinfiat&amp;order=desc.

error code: 1020
ray id: 792cdc67aa0cc664
country: ca
data center: sea06
ip: 2604:3d08:8e7c:ba00:3194:dbd2:2d83:8121
timestamp: 2023-02-01 18:48:22 utc

                  click to copy

was this page helpful?
        yes
        no

thank you for your feedback!

performance &amp; security by cloudflare

(function(){var js = ""window['__cf$cv$params']={r:'792cdc67aa0cc664',m:'2svdaiqndlwgcg1vzcktxeamggdrnficvmmliwkc82i-1675277302-0-afpg921nxubovsmbqcjnjw2d4ak8+1c4jznd5lvqieez7wepbx0szn78jv5ilxzvl2vgruarc82gotgfdo8gyigvqq1v/ahcz4qezjxdmjgrh31dotzrb5wk5/dnsycvnfokost8j+mya4erbyx0cu9riulkzmxisy0j4wq0ci9wh9izshi9oimeq4udr77xtmthh39imecd7okebt5h7ou=',s:[0x23ec1caf79,0x0d24de811e],u:'/cdn-cgi/challenge-platform/h/b'};var now=date.now()/1000,offset=14400,ts=''+(math.floor(now)-math.floor(now%offset)),_cpo=document.createelement('script');_cpo.nonce='',_cpo.src='/cdn-cgi/challenge-platform/h/b/scripts/alpha/invisible.js?ts='+ts,document.getelementsbytagname('head')[0].appendchild(_cpo);"";var _0xh = document.createelement('iframe');_0xh.height = 1;_0xh.width = 1;_0xh.style.position = 'absolute';_0xh.style.top = 0;_0xh.style.left = 0;_0xh.style.border = 'none';_0xh.style.visibility = 'hidden';document.body.appendchild(_0xh);function handler() {var _0xi = _0xh.contentdocument || _0xh.contentwindow.document;if (_0xi) {var _0xj = _0xi.createelement('script');_0xj.nonce = '';_0xj.innerhtml = js;_0xi.getelementsbytagname('head')[0].appendchild(_0xj);}}if (document.readystate !== 'loading') {handler();} else if (window.addeventlistener) {document.addeventlistener('domcontentloaded', handler);} else {var prev = document.onreadystatechange || function () {};document.onreadystatechange = function (e) {prev(e);if (document.readystate !== 'loading') {document.onreadystatechange = prev;handler();}};}})();

failed to fetch data from dappradar
```",Manual,,MANUAL,"This is a Cloudflare access denial (error 1020) from a third-party API provider, indicating IP-based blocking or rate limiting by the external service. This is an infrastructure/network-level issue outside the application's control that cannot be reliably reproduced or automated.","Error code 1020 from nft-sales-service.dappradar.com with message 'The site owner may have set restrictions that prevent you from accessing the site' and 'Country: CA, IP: 2604:3d08:8e7c:ba00:3194:dbd2:2d83:8121' indicates external provider blocking.",
OpenBB-finance/OpenBB,3001,"[title] [bug] key/binance -k <lorem ipsum> str expected
[issue]
when setting key.  both with and without the quotes
```
2022 oct 23, 11:20 (🦋) /keys/ $ binance -k ""key""
error: str expected, not nonetype
```
[issue_comments] ""doesn't seem like a bug - adding the binance key requires the secret key as well. the error message could be more clear though""",service,,SERVICE,This is a validation and error handling issue within a single component's input processing logic. The bug can be reliably tested at the service level by verifying parameter validation behavior with mocked dependencies.,"error: str expected, not nonetype - this indicates improper input validation when the secret key parameter is missing. The comment confirms it's a parameter validation issue that could be caught with clearer error messaging.",
OpenBB-finance/OpenBB,3060,"[title] [bug] `crypto/ov/cr` flags and plot bugs
[issue]
**describe the bug**
1. `-t` flag is not in the dropdown

2. `--limit` flag does not limit plot, but does limit the table

**to reproduce**
`crypto/ov/cr`
[issue_comments] ""second part is not really a bug - its showing per the 4 there - so its not supposed to limit""",service,,SERVICE,"This bug involves UI flag handling and data filtering logic within a single component. The issues can be validated through isolated unit or service-level tests that verify flag parsing, dropdown population, and data limiting behavior without requiring full system integration.","'-t' flag is not in the dropdown and '--limit' flag does not limit plot, but does limit the table",
